46,BTC_LPT,1 min,2021-07-11 23:27:43.615386,0.00045893,0.00045893,0.00045893,0.00045893
47,BTC_ZRX,1 min,2021-07-11 23:27:51.358410,0.00002264,0.00002264,0.00002264,0.00002264
48,BTC_GAS,1 min,2021-07-11 23:27:51.965499,0.00017697,0.00017697,0.00017697,0.00017697
0,BTC_STEEM,1 min,2021-07-11 23:29:05.554701,0.00001202,0.00001202,0.00001211,0.00001211
1,BTC_EOS,1 min,2021-07-11 23:29:05.556374,0.00012572,0.00012559,0.00012652,0.00012640
2,BTC_ATOM,1 min,2021-07-11 23:29:01.870225,0.00040401,0.00040401,0.00040401,0.00040401
3,BTC_MATIC,1 min,2021-07-11 23:27:18.295640,0.00003041,0.00003041,0.00003041,0.00003041
4,BTC_BCH,1 min,2021-07-11 23:29:06.367916,0.01462316,0.01462316,0.01462316,0.01462316
5,BTC_DOT,1 min,2021-07-11 23:29:06.373824,0.00045295,0.00045259,0.00045314,0.00045294
6,BTC_TRU,1 min,2021-07-11 23:28:56.965796,0.00000440,0.00000440,0.00000440,0.00000440
7,BTC_XMR,1 min,2021-07-11 23:28:53.907886,0.00624676,0.00624617,0.00624705,0.00624617
8,BTC_SNX,1 min,2021-07-11 23:29:05.571274,0.00039565,0.00039447,0.00039809,0.00039500
9,BTC_MKR,1 min,2021-07-11 23:29:04.954681,0.07760343,0.07760343,0.07760343,0.07760343
10,BTC_SWINGBY,1 min,2021-07-11 23:26:22.506574,0.00000247,0.00000247,0.00000247,0.00000247
11,BTC_SENSO,1 min,2021-07-11 23:29:06.372355,0.00002602,0.00002601,0.00002602,0.00002601
12,BTC_QTUM,1 min,2021-07-11 23:28:57.480424,0.00019960,0.00019960,0.00019960,0.00019960
13,BTC_LINK,1 min,2021-07-11 23:29:07.074673,0.00053932,0.00053886,0.00053933,0.00053886
14,BTC_REN,1 min,2021-07-11 23:29:07.170025,0.00001074,0.00001074,0.00001074,0.00001074
15,BTC_SXP,1 min,2021-07-11 23:28:51.543393,0.00005700,0.00005700,0.00005700,0.00005700
16,BTC_ETH,1 min,2021-07-11 23:29:07.028364,0.06280232,0.06278052,0.06280232,0.06278052
